year,county,neonic,count
2000,Orange,Contains a Neonic,0
2000,Orange,Does Not Contain a Neonic,4
2000,Orange,Percent Contining Neonics,0
2000,San Bernardino,Contains a Neonic,0
2000,San Bernardino,Does Not Contain a Neonic,2
2000,San Bernardino,Percent Contining Neonics,0
2001,Contra Costa,Contains a Neonic,0
2001,Contra Costa,Does Not Contain a Neonic,6
2001,Contra Costa,Percent Contining Neonics,0
2001,Merced,Contains a Neonic,0
2001,Merced,Does Not Contain a Neonic,3
2001,Merced,Percent Contining Neonics,0
2001,Sacramento,Contains a Neonic,0
2001,Sacramento,Does Not Contain a Neonic,15
2001,Sacramento,Percent Contining Neonics,0
2001,San Joaquin,Contains a Neonic,0
2001,San Joaquin,Does Not Contain a Neonic,4
2001,San Joaquin,Percent Contining Neonics,0
2001,Stanislaus,Contains a Neonic,0
2001,Stanislaus,Does Not Contain a Neonic,3
2001,Stanislaus,Percent Contining Neonics,0
2001,Sutter,Contains a Neonic,0
2001,Sutter,Does Not Contain a Neonic,3
2001,Sutter,Percent Contining Neonics,0
2002,Merced,Contains a Neonic,0
2002,Merced,Does Not Contain a Neonic,17
2002,Merced,Percent Contining Neonics,0
2002,San Diego,Contains a Neonic,0
2002,San Diego,Does Not Contain a Neonic,8
2002,San Diego,Percent Contining Neonics,0
2002,San Joaquin,Contains a Neonic,0
2002,San Joaquin,Does Not Contain a Neonic,17
2002,San Joaquin,Percent Contining Neonics,0
2002,Stanislaus,Contains a Neonic,0
2002,Stanislaus,Does Not Contain a Neonic,17
2002,Stanislaus,Percent Contining Neonics,0
2003,Mariposa,Contains a Neonic,0
2003,Mariposa,Does Not Contain a Neonic,1
2003,Mariposa,Percent Contining Neonics,0
2003,San Diego,Contains a Neonic,0
2003,San Diego,Does Not Contain a Neonic,24
2003,San Diego,Percent Contining Neonics,0
2004,Inyo,Contains a Neonic,0
2004,Inyo,Does Not Contain a Neonic,2
2004,Inyo,Percent Contining Neonics,0
2004,Los Angeles,Contains a Neonic,0
2004,Los Angeles,Does Not Contain a Neonic,1
2004,Los Angeles,Percent Contining Neonics,0
2004,Sacramento,Contains a Neonic,2
2004,Sacramento,Does Not Contain a Neonic,4
2004,Sacramento,Percent Contining Neonics,33.33333333333333
2004,San Bernardino,Contains a Neonic,0
2004,San Bernardino,Does Not Contain a Neonic,3
2004,San Bernardino,Percent Contining Neonics,0
2004,San Diego,Contains a Neonic,0
2004,San Diego,Does Not Contain a Neonic,8
2004,San Diego,Percent Contining Neonics,0
2005,Sacramento,Contains a Neonic,13
2005,Sacramento,Does Not Contain a Neonic,4
2005,Sacramento,Percent Contining Neonics,76.47058823529412
2005,San Diego,Contains a Neonic,0
2005,San Diego,Does Not Contain a Neonic,8
2005,San Diego,Percent Contining Neonics,0
2006,San Bernardino,Contains a Neonic,0
2006,San Bernardino,Does Not Contain a Neonic,1
2006,San Bernardino,Percent Contining Neonics,0
2006,San Diego,Contains a Neonic,0
2006,San Diego,Does Not Contain a Neonic,1
2006,San Diego,Percent Contining Neonics,0
2007,Colusa,Contains a Neonic,0
2007,Colusa,Does Not Contain a Neonic,2
2007,Colusa,Percent Contining Neonics,0
2007,Sutter,Contains a Neonic,0
2007,Sutter,Does Not Contain a Neonic,4
2007,Sutter,Percent Contining Neonics,0
2010,Imperial,Contains a Neonic,5
2010,Imperial,Does Not Contain a Neonic,1
2010,Imperial,Percent Contining Neonics,83.33333333333334
2010,Monterey,Contains a Neonic,10
2010,Monterey,Does Not Contain a Neonic,1
2010,Monterey,Percent Contining Neonics,90.9090909090909
2010,Orange,Contains a Neonic,12
2010,Orange,Does Not Contain a Neonic,6
2010,Orange,Percent Contining Neonics,66.66666666666666
2010,Riverside,Contains a Neonic,0
2010,Riverside,Does Not Contain a Neonic,14
2010,Riverside,Percent Contining Neonics,0
2010,San Joaquin,Contains a Neonic,0
2010,San Joaquin,Does Not Contain a Neonic,15
2010,San Joaquin,Percent Contining Neonics,0
2010,San Luis Obispo,Contains a Neonic,1
2010,San Luis Obispo,Does Not Contain a Neonic,0
2010,San Luis Obispo,Percent Contining Neonics,100
2010,Santa Barbara,Contains a Neonic,4
2010,Santa Barbara,Does Not Contain a Neonic,0
2010,Santa Barbara,Percent Contining Neonics,100
2010,Stanislaus,Contains a Neonic,0
2010,Stanislaus,Does Not Contain a Neonic,13
2010,Stanislaus,Percent Contining Neonics,0
2011,Contra Costa,Contains a Neonic,0
2011,Contra Costa,Does Not Contain a Neonic,30
2011,Contra Costa,Percent Contining Neonics,0
2011,Fresno,Contains a Neonic,0
2011,Fresno,Does Not Contain a Neonic,2
2011,Fresno,Percent Contining Neonics,0
2011,Imperial,Contains a Neonic,11
2011,Imperial,Does Not Contain a Neonic,8
2011,Imperial,Percent Contining Neonics,57.89473684210527
2011,Merced,Contains a Neonic,0
2011,Merced,Does Not Contain a Neonic,7
2011,Merced,Percent Contining Neonics,0
2011,Monterey,Contains a Neonic,29
2011,Monterey,Does Not Contain a Neonic,8
2011,Monterey,Percent Contining Neonics,78.37837837837837
2011,Orange,Contains a Neonic,20
2011,Orange,Does Not Contain a Neonic,15
2011,Orange,Percent Contining Neonics,57.14285714285714
2011,Placer,Contains a Neonic,8
2011,Placer,Does Not Contain a Neonic,18
2011,Placer,Percent Contining Neonics,30.76923076923077
2011,Sacramento,Contains a Neonic,2
2011,Sacramento,Does Not Contain a Neonic,37
2011,Sacramento,Percent Contining Neonics,5.128205128205128
2011,San Luis Obispo,Contains a Neonic,1
2011,San Luis Obispo,Does Not Contain a Neonic,0
2011,San Luis Obispo,Percent Contining Neonics,100
2011,Santa Barbara,Contains a Neonic,9
2011,Santa Barbara,Does Not Contain a Neonic,0
2011,Santa Barbara,Percent Contining Neonics,100
2011,Santa Cruz,Contains a Neonic,3
2011,Santa Cruz,Does Not Contain a Neonic,5
2011,Santa Cruz,Percent Contining Neonics,37.5
2011,Solano,Contains a Neonic,0
2011,Solano,Does Not Contain a Neonic,30
2011,Solano,Percent Contining Neonics,0
2011,Tulare,Contains a Neonic,0
2011,Tulare,Does Not Contain a Neonic,26
2011,Tulare,Percent Contining Neonics,0
2011,Ventura,Contains a Neonic,3
2011,Ventura,Does Not Contain a Neonic,1
2011,Ventura,Percent Contining Neonics,75
2012,Contra Costa,Contains a Neonic,0
2012,Contra Costa,Does Not Contain a Neonic,150
2012,Contra Costa,Percent Contining Neonics,0
2012,Madera,Contains a Neonic,0
2012,Madera,Does Not Contain a Neonic,2
2012,Madera,Percent Contining Neonics,0
2012,Mariposa,Contains a Neonic,0
2012,Mariposa,Does Not Contain a Neonic,6
2012,Mariposa,Percent Contining Neonics,0
